__quarterly__,y,ny,cpi,r,e,yw,rw,cpiw,tna,l,ln,bk,rwa,lp,a,le,car,bg,rbk,new_rl,rd,car_min,,__eof__
,,,,,,,,,,,,,,,,,,,,,,,,__eof__
1990Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0857343211740468,0.0543983444978288,0.00208961809165738,0.00838629750610313,NaN,0.0523087264061714,0.00303267719749268,0.0513656673003361,NaN,NaN,0,NaN,NaN,NaN,,__eof__
1990Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0930650649737574,0.0584900400006377,0.00432610601044548,0.00822518723140921,NaN,0.0541639339901922,0.00411330506430815,0.0543767349363295,NaN,NaN,0,NaN,NaN,NaN,,__eof__
1990Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0980090395132885,0.0603145977371444,0.00407364924991781,0.00883964702478209,NaN,0.0562409484872266,0.00408278010195208,0.0562318176351923,NaN,NaN,0,NaN,NaN,NaN,,__eof__
1991Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.102080292509767,0.0619935677096562,0.00505935069753878,0.00937489100910387,NaN,0.0569342170121174,0.00455407649437715,0.0574394912152791,NaN,NaN,0,NaN,NaN,NaN,,__eof__
1991Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.107132601502934,0.0644836729539847,0.00515294498591472,0.0100357880217476,NaN,0.05933072796807,0.00469205436238442,0.0597916185916003,NaN,NaN,0.0510468530026429,NaN,NaN,NaN,,__eof__
1991Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.113587412609822,0.0682326989210007,0.00547670137067036,0.0109691388274002,NaN,0.0627559975503303,0.00497475551881488,0.0632579434021858,NaN,NaN,0.0561396302276975,NaN,NaN,NaN,,__eof__
1991Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.122137849738921,0.0715816392000854,0.00573599353986603,0.0122522334535876,NaN,0.0658456456602194,0.00521502291934849,0.0663666162807369,NaN,NaN,0.0569424350953154,NaN,NaN,NaN,,__eof__
1992Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.132944962650981,0.0758147776827213,0.00579734871760337,0.0134158634534021,NaN,0.0700174289651179,0.00540950408152623,0.0704052736011951,NaN,NaN,0.0567854459266535,NaN,NaN,NaN,,__eof__
1992Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144516658184384,0.0815594890782554,0.0059904257893941,0.0151511060712468,NaN,0.0755690632888613,0.0057184541367818,0.0758410349414736,NaN,NaN,0.0559889490485715,NaN,NaN,NaN,,__eof__
